# moveNumber,playerId,figureType,fromPosition,toPosition,eliminatedFigure,moveTime,durationMove
1,006d2e74-d853-4a84-bc25-c0d21e464b0b,PAWN,e2,e4,,2024-12-15T12:00:00,5
2,58929871-9bd4-4558-ba5e-f3786a58246c,PAWN,e7,e5,,2024-12-15T12:00:05,7
3,006d2e74-d853-4a84-bc25-c0d21e464b0b,KNIGHT,g1,f3,,2024-12-15T12:00:12,8
4,58929871-9bd4-4558-ba5e-f3786a58246c,KNIGHT,b8,c6,,2024-12-15T12:00:20,6
5,006d2e74-d853-4a84-bc25-c0d21e464b0b,PAWN,d2,d4,,2024-12-15T12:00:26,10
6,58929871-9bd4-4558-ba5e-f3786a58246c,PAWN,e5,d4,PAWN,2024-12-15T12:00:36,9
7,006d2e74-d853-4a84-bc25-c0d21e464b0b,KNIGHT,f3,d4,,2024-12-15T12:00:45,12
8,58929871-9bd4-4558-ba5e-f3786a58246c,BISHOP,c8,g4,,2024-12-15T12:00:57,8
9,006d2e74-d853-4a84-bc25-c0d21e464b0b,QUEEN,d1,g4,BISHOP,2024-12-15T12:01:05,15
10,58929871-9bd4-4558-ba5e-f3786a58246c,KNIGHT,c6,d4,KNIGHT,2024-12-15T12:01:20,10
11,006d2e74-d853-4a84-bc25-c0d21e464b0b,QUEEN,g4,g7,,2024-12-15T12:01:30,20
